Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0903747,2021-08-25,2021-08-25,,"Breaking Bad","Breaking Bad",https://www.imdb.com/title/tt0903747/,TV Series,9.5,48,2008,"Crime, Drama, Thriller",2575385,2008-01-20,,,
2,tt0455275,2021-08-25,2021-08-25,,"Prison Break","Prison Break",https://www.imdb.com/title/tt0455275/,TV Series,8.3,44,2005,"Action, Crime, Drama, Mystery, Thriller",661964,2005-08-29,,,
3,tt1196946,2021-08-25,2021-08-25,,"The Mentalist","The Mentalist",https://www.imdb.com/title/tt1196946/,TV Series,8.2,43,2008,"Crime, Drama, Mystery, Thriller",221849,2008-09-23,,,
4,tt3032476,2021-08-25,2021-08-25,,"Better Call Saul","Better Call Saul",https://www.imdb.com/title/tt3032476/,TV Series,9.0,45,2015,"Crime, Drama",818352,2015-02-08,,,
5,tt7137906,2021-08-25,2021-08-25,,"When They See Us","When They See Us",https://www.imdb.com/title/tt7137906/,TV Mini Series,8.8,75,2019,"Biography, Crime, Drama, History",157453,2019-05-31,,,
6,tt7335184,2021-08-25,2021-08-25,,"You","You",https://www.imdb.com/title/tt7335184/,TV Series,7.6,45,2018,"Crime, Drama, Romance, Thriller",362954,2018-09-09,,,
7,tt3107288,2021-08-25,2021-08-25,,"The Flash","The Flash",https://www.imdb.com/title/tt3107288/,TV Series,7.5,43,2014,"Action, Adventure, Drama, Sci-Fi",384094,2014-10-07,,,
8,tt2306299,2021-08-25,2021-08-25,,"Vikings","Vikings",https://www.imdb.com/title/tt2306299/,TV Series,8.5,45,2013,"Action, Adventure, Drama, History, Romance, War",637839,2013-03-03,,,
9,tt2085059,2021-08-25,2021-08-25,,"Black Mirror","Black Mirror",https://www.imdb.com/title/tt2085059/,TV Series,8.7,60,2011,"Crime, Drama, Mystery, Sci-Fi, Thriller",731450,2011-12-04,,,
10,tt2861424,2021-08-25,2021-08-25,,"Rick and Morty","Rick and Morty",https://www.imdb.com/title/tt2861424/,TV Series,9.0,23,2013,"Animation, Adventure, Comedy, Sci-Fi",688327,2013-12-02,,,
11,tt1475582,2021-08-25,2021-08-25,,"Sherlock","Sherlock",https://www.imdb.com/title/tt1475582/,TV Series,9.0,90,2010,"Crime, Drama, Mystery, Thriller",1081939,2010-10-24,,,
12,tt0386676,2021-08-25,2021-08-25,,"The Office","The Office",https://www.imdb.com/title/tt0386676/,TV Series,9.0,22,2005,"Comedy",823155,2005-03-24,,,
13,tt2442560,2021-08-25,2021-08-25,,"Peaky Blinders","Peaky Blinders",https://www.imdb.com/title/tt2442560/,TV Series,8.7,60,2013,"Crime, Drama",760312,2014-09-30,,,
14,tt5753856,2021-08-25,2021-08-25,,"Dark","Dark",https://www.imdb.com/title/tt5753856/,TV Series,8.7,60,2017,"Crime, Drama, Mystery, Sci-Fi, Thriller",536563,2017-12-01,,,
15,tt4574334,2021-08-25,2021-08-25,,"Stranger Things","Stranger Things",https://www.imdb.com/title/tt4574334/,TV Series,8.6,60,2016,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",1677663,2016-07-15,,,
16,tt0475784,2021-08-25,2021-08-25,,"Westworld","Westworld",https://www.imdb.com/title/tt0475784/,TV Series,8.4,60,2016,"Drama, Mystery, Sci-Fi",556322,2016-10-02,,,
17,tt0096657,2021-08-25,2021-08-25,,"Mr. Bean","Mr. Bean",https://www.imdb.com/title/tt0096657/,TV Series,8.6,25,1990,"Comedy, Family",149986,1992-04-02,,,
18,tt4158110,2021-08-25,2021-08-25,,"Mr. Robot","Mr. Robot",https://www.imdb.com/title/tt4158110/,TV Series,8.5,45,2015,"Crime, Drama, Thriller",463548,2015-06-24,,,
19,tt2741602,2021-08-25,2021-08-25,,"The Blacklist","The Blacklist",https://www.imdb.com/title/tt2741602/,TV Series,7.9,43,2013,"Crime, Drama, Mystery, Thriller",298997,2013-09-23,,,
20,tt6468322,2021-08-25,2021-08-25,,"Money Heist","La casa de papel",https://www.imdb.com/title/tt6468322/,TV Series,8.2,60,2017,"Action, Crime, Drama, Mystery, Thriller",600261,2017-05-02,,,
21,tt1632701,2021-08-25,2021-08-25,,"Suits","Suits",https://www.imdb.com/title/tt1632701/,TV Series,8.4,45,2011,"Comedy, Drama",535504,2011-06-23,,,
22,tt10423460,2021-08-25,2021-08-25,,"Family Business","Family Business",https://www.imdb.com/title/tt10423460/,TV Series,7.4,,2019,"Comedy",5783,2019-06-28,,,
23,tt3920596,2021-08-30,2021-08-30,,"Big Little Lies","Big Little Lies",https://www.imdb.com/title/tt3920596/,TV Series,8.4,50,2017,"Crime, Drama, Mystery",243217,2017-02-19,,,
24,tt2531336,2021-09-01,2021-09-01,,"Lupin","Lupin",https://www.imdb.com/title/tt2531336/,TV Series,7.5,45,2021,"Action, Crime, Drama, Mystery",156940,2021-01-08,,,
25,tt9698442,2021-09-01,2021-09-01,,"Behind Her Eyes","Behind Her Eyes",https://www.imdb.com/title/tt9698442/,TV Mini Series,7.2,50,2021,"Drama, Mystery, Thriller",91839,2021-02-17,,,
26,tt4955642,2021-09-01,2021-09-01,,"The Good Place","The Good Place",https://www.imdb.com/title/tt4955642/,TV Series,8.2,22,2016,"Comedy, Drama, Fantasy, Mystery, Romance",218253,2016-09-19,,,
27,tt0193676,2021-09-12,2021-09-12,,"Freaks and Geeks","Freaks and Geeks",https://www.imdb.com/title/tt0193676/,TV Series,8.8,45,1999,"Comedy, Drama",163907,1999-09-25,,,
28,tt8398600,2021-09-12,2021-09-12,,"After Life","After Life",https://www.imdb.com/title/tt8398600/,TV Series,8.4,30,2019,"Comedy, Drama",167652,2019-03-08,,,
29,tt5028002,2021-09-13,2021-09-13,,"StartUp","StartUp",https://www.imdb.com/title/tt5028002/,TV Series,7.8,44,2016,"Crime, Thriller",32315,2016-09-06,,,
30,tt5071412,2021-09-13,2021-09-13,,"Ozark","Ozark",https://www.imdb.com/title/tt5071412/,TV Series,8.4,60,2017,"Crime, Drama, Thriller",388693,2017-07-21,,,
31,tt10048342,2021-09-17,2021-09-17,,"The Queen's Gambit","The Queen's Gambit",https://www.imdb.com/title/tt10048342/,TV Mini Series,8.5,60,2020,"Drama",655746,2020-10-23,,,
32,tt2401256,2021-11-18,2021-11-18,,"The Night Of","The Night Of",https://www.imdb.com/title/tt2401256/,TV Mini Series,8.4,60,2016,"Crime, Drama, Mystery",192554,2016-06-24,,,
33,tt2649356,2021-11-24,2021-11-24,,"Sharp Objects","Sharp Objects",https://www.imdb.com/title/tt2649356/,TV Mini Series,8.0,60,2018,"Crime, Drama, Mystery, Thriller",136338,2018-07-08,,,
34,tt14164730,2021-11-28,2021-11-28,,"Dexter: New Blood","Dexter: New Blood",https://www.imdb.com/title/tt14164730/,TV Mini Series,8.0,60,2021,"Crime, Drama, Mystery",151165,2021-11-07,,,
35,tt12682218,2021-11-29,2021-11-29,,"Scenes from a Marriage","Scenes from a Marriage",https://www.imdb.com/title/tt12682218/,TV Mini Series,8.0,60,2021,"Drama",33608,2021-09-12,,,
36,tt2879552,2021-11-30,2021-11-30,,"11.22.63","11.22.63",https://www.imdb.com/title/tt2879552/,TV Mini Series,8.0,60,2016,"Drama, Mystery, Romance, Sci-Fi, Thriller",121037,2016-02-15,,,
37,tt0412142,2022-01-18,2022-01-18,,"House","House M.D.",https://www.imdb.com/title/tt0412142/,TV Series,8.7,45,2004,"Drama",588193,2004-11-16,,,
38,tt7902072,2022-01-19,2022-01-19,,"Safe","Safe",https://www.imdb.com/title/tt7902072/,TV Mini Series,7.2,45,2018,"Crime, Drama, Mystery, Thriller",60967,2018-05-10,,,
39,tt0212671,2022-03-18,2022-03-18,,"Malcolm in the Middle","Malcolm in the Middle",https://www.imdb.com/title/tt0212671/,TV Series,8.2,22,2000,"Comedy, Drama, Family",155951,2000-01-09,,,
40,tt7909970,2022-03-27,2022-03-27,,"Unbelievable","Unbelievable",https://www.imdb.com/title/tt7909970/,TV Mini Series,8.3,48,2019,"Crime, Drama",135620,2019-09-13,,,
41,tt19238142,2022-09-30,2022-09-30,,"Edge of the Unknown with Jimmy Chin","Edge of the Unknown with Jimmy Chin",https://www.imdb.com/title/tt19238142/,TV Series,7.6,23,2022,"Documentary",609,2022,,,
42,tt3205802,2023-01-31,2023-01-31,,"How to Get Away with Murder","How to Get Away with Murder",https://www.imdb.com/title/tt3205802/,TV Series,8.1,45,2014,"Crime, Drama, Mystery, Thriller",177848,2014-09-25,,,
